ID;Producto;Cantidad;Precio
1;Impresora;81;50.32
21;Teclado;85;7.22
11;Monitor;60;20.23
12;Tablet;12;25.05
22;Impresora;26;18.33
23;Smartphone;81;32.70
2;Smartphone;70;13.65
3;Smartphone;87;41.30
24;Smartphone;22;11.68
13;Impresora;57;23.43
25;Laptop;7;32.79
4;Mouse;60;2.03
14;Mouse;99;14.46
15;Smartphone;74;14.13
26;Tablet;97;28.63
27;Monitor;49;14.16
5;Impresora;37;26.28
6;Impresora;59;47.16
28;Teclado;37;28.39
29;Laptop;62;40.24
16;Laptop;60;50.00
7;Impresora;100;6.43
30;Teclado;10;13.46
17;Smartphone;89;31.37
8;Smartphone;39;31.65
9;Impresora;51;30.96
31;Monitor;70;2.13
18;Laptop;77;28.75
10;Smartphone;14;18.27
19;Teclado;52;26.26
32;Monitor;82;43.92
33;Laptop;24;34.88
41;Tablet;58;1.72
34;Impresora;4;11.90
35;Tablet;7;20.67
20;Monitor;32;42.48
51;Teclado;45;29.03
36;Impresora;60;31.98
42;Smartphone;28;36.60
43;Smartphone;89;33.37
37;Tablet;23;11.32
38;Monitor;32;23.21
39;Impresora;87;22.65
52;Teclado;2;37.35
53;Teclado;50;38.27
44;Tablet;7;16.77
45;Laptop;73;2.84
40;Monitor;10;46.84
54;Laptop;28;19.06
61;Smartphone;26;30.89
46;Smartphone;51;28.26
55;Monitor;45;16.80
47;Tablet;75;38.60
48;Teclado;88;34.69
62;Impresora;32;44.42
49;Laptop;95;20.93
56;Monitor;8;33.13
57;Monitor;92;47.45
50;Smartphone;55;27.22
63;Impresora;62;35.71
58;Laptop;95;24.15
59;Teclado;72;47.78
71;Smartphone;12;2.15
72;Monitor;45;8.71
64;Impresora;70;33.04
73;Smartphone;56;47.97
60;Tablet;15;14.13
65;Smartphone;90;47.52
74;Monitor;76;47.62
66;Mouse;26;29.52
81;Impresora;41;19.40
67;Smartphone;70;50.62
75;Tablet;75;6.81
82;Teclado;48;37.64
68;Laptop;99;12.89
83;Mouse;97;28.84
76;Monitor;3;19.32
84;Monitor;50;49.26
69;Mouse;31;46.20
77;Impresora;26;38.27
70;Impresora;63;11.36
78;Monitor;50;30.55
85;Monitor;73;44.43
79;Mouse;23;12.71
91;Mouse;60;26.40
80;Impresora;43;18.57
86;Impresora;59;23.79
87;Mouse;58;38.92
88;Laptop;58;9.61
92;Teclado;98;11.89
93;Mouse;43;5.04
89;Laptop;2;49.14
94;Teclado;9;19.78
95;Laptop;93;4.61
90;Impresora;31;30.56
96;Laptop;3;1.25
97;Tablet;46;41.70
98;Teclado;59;50.53
99;Mouse;47;29.80
100;Mouse;71;26.28
